DepDelay,Distance,Month,DayofMonth,DayOfWeek,ArrDelay,WeatherCondition
-2.0,187.0,1,19,3,-20.0,Windy
-7.0,2475.0,1,24,1,-19.0,Windy
-1.0,427.0,1,29,6,-25.0,Cloudy
-3.0,762.0,1,24,1,-9.0,Cloudy
35.0,1635.0,1,7,5,13.0,Cloudy
-6.0,2454.0,1,22,6,-8.0,Windy
-5.0,2419.0,1,24,1,-7.0,Snowy
-10.0,2475.0,1,26,3,-21.0,Windy
188.0,184.0,1,31,1,176.0,Cloudy
-3.0,541.0,1,11,2,-31.0,Cloudy
27.0,1183.0,1,7,5,-9.0,Windy
63.0,475.0,1,3,1,61.0,Snowy
-5.0,416.0,1,16,7,-1.0,Windy
10.0,3365.0,1,11,2,14.0,Cloudy
-5.0,586.0,1,18,2,-23.0,Snowy
-8.0,774.0,1,1,6,13.0,Snowy
-10.0,409.0,1,27,4,-21.0,Windy
-11.0,1671.0,1,20,4,-6.0,Snowy
-5.0,363.0,1,27,4,-11.0,Cloudy
-10.0,752.0,1,9,7,20.0,Windy
-3.0,427.0,1,21,5,-14.0,Snowy
-1.0,846.0,1,17,1,-5.0,Cloudy
-6.0,1024.0,1,21,5,-15.0,Windy
-1.0,557.0,1,13,4,-5.0,Windy
-17.0,1435.0,1,21,5,-16.0,Snowy
11.0,1024.0,1,9,7,-6.0,Windy
84.0,870.0,1,7,5,83.0,Cloudy
15.0,391.0,1,2,7,1.0,Windy
-5.0,636.0,1,6,4,-12.0,Snowy
-4.0,331.0,1,24,1,-11.0,Snowy
-5.0,1464.0,1,29,6,-19.0,Cloudy
-13.0,542.0,1,11,2,-13.0,Snowy
-5.0,1199.0,1,13,4,-19.0,Windy
-10.0,544.0,1,11,2,-18.0,Windy
-9.0,916.0,1,14,5,-28.0,Snowy
-1.0,174.0,1,6,4,-13.0,Windy
44.0,967.0,1,8,6,13.0,Snowy
-7.0,2534.0,1,14,5,8.0,Cloudy
15.0,234.0,1,2,7,13.0,Windy
-7.0,828.0,1,18,2,1.0,Windy
-1.0,748.0,1,7,5,0.0,Windy
-1.0,1327.0,1,18,2,-1.0,Snowy
-9.0,184.0,1,6,4,-18.0,Cloudy
-7.0,192.0,1,24,1,-27.0,Windy
-3.0,894.0,1,1,6,-7.0,Windy
8.0,1381.0,1,8,6,-25.0,Cloudy
-5.0,733.0,1,26,3,-25.0,Windy
-5.0,1121.0,1,12,3,-17.0,Windy
-9.0,264.0,1,21,5,-25.0,Windy
-9.0,249.0,1,15,6,-5.0,Snowy
4.0,1500.0,1,15,6,-9.0,Cloudy
81.0,157.0,1,11,2,78.0,Snowy
-4.0,712.0,1,26,3,-13.0,Windy
16.0,239.0,1,4,2,16.0,Snowy
-4.0,919.0,1,31,1,-2.0,Windy
-3.0,804.0,1,13,4,1.0,Snowy
-8.0,421.0,1,14,5,-16.0,Snowy
-5.0,212.0,1,13,4,-9.0,Windy
-7.0,1916.0,1,13,4,-30.0,Windy
-4.0,719.0,1,8,6,-15.0,Snowy
-3.0,391.0,1,30,7,-14.0,Cloudy
0.0,888.0,1,30,7,0.0,Cloudy
-1.0,1546.0,1,6,4,-5.0,Windy
-9.0,296.0,1,20,4,-11.0,Windy
2.0,440.0,1,21,5,-12.0,Windy
-5.0,447.0,1,14,5,-9.0,Windy
-5.0,1172.0,1,19,3,-21.0,Cloudy
-3.0,2218.0,1,16,7,-5.0,Cloudy
0.0,338.0,1,19,3,-12.0,Cloudy
10.0,628.0,1,16,7,-13.0,Windy
101.0,243.0,2,7,1,108.0,Cloudy
-10.0,1078.0,2,5,6,-6.0,Snowy
-11.0,136.0,2,27,7,-19.0,Snowy
24.0,918.0,2,12,6,24.0,Windy
0.0,2422.0,2,23,3,-19.0,Snowy
-11.0,570.0,2,25,5,-14.0,Windy
0.0,602.0,2,18,5,16.0,Snowy
-10.0,607.0,2,4,5,22.0,Snowy
-7.0,163.0,2,3,4,-11.0,Cloudy
1.0,954.0,2,14,1,-37.0,Cloudy
15.0,431.0,2,17,4,13.0,Snowy
-4.0,404.0,2,2,3,-15.0,Cloudy
38.0,1120.0,2,10,4,33.0,Snowy
-2.0,547.0,2,26,6,-19.0,Snowy
10.0,2075.0,2,10,4,-22.0,Windy
-12.0,311.0,2,12,6,-2.0,Snowy
15.0,1024.0,2,18,5,6.0,Windy
-6.0,660.0,2,23,3,-1.0,Windy
-8.0,585.0,2,12,6,-15.0,Snowy
5.0,298.0,2,26,6,-1.0,Snowy
46.0,273.0,2,20,7,32.0,Snowy
-1.0,1674.0,2,27,7,-13.0,Cloudy
-10.0,1810.0,2,9,3,-5.0,Cloudy
19.0,888.0,2,24,4,11.0,Windy
-3.0,1118.0,2,13,7,-9.0,Windy
-12.0,640.0,2,1,2,-30.0,Windy
2.0,1076.0,2,5,6,-22.0,Snowy
34.0,1747.0,2,23,3,22.0,Cloudy
27.0,2133.0,2,20,7,-14.0,Cloudy
7.0,500.0,2,15,2,12.0,Windy
2.0,588.0,2,3,4,-13.0,Cloudy
51.0,1197.0,2,22,2,46.0,Snowy
76.0,1068.0,2,1,2,36.0,Cloudy
6.0,2182.0,2,6,7,-19.0,Windy
35.0,1199.0,2,7,1,32.0,Windy
-7.0,642.0,2,12,6,4.0,Windy
-1.0,1606.0,2,15,2,-12.0,Cloudy
-3.0,358.0,2,10,4,-13.0,Windy
50.0,612.0,2,3,4,43.0,Windy
-3.0,196.0,2,7,1,-21.0,Windy
-5.0,784.0,2,2,3,4.0,Cloudy
-4.0,236.0,2,28,1,-16.0,Cloudy
-6.0,534.0,2,24,4,-2.0,Cloudy
-7.0,760.0,2,5,6,-28.0,Cloudy
184.0,461.0,2,7,1,167.0,Snowy
5.0,1379.0,2,22,2,-2.0,Windy
-1.0,946.0,2,8,2,-19.0,Windy
-2.0,328.0,2,28,1,-12.0,Windy
64.0,120.0,2,2,3,50.0,Windy
-5.0,325.0,2,16,3,-13.0,Windy
-10.0,387.0,2,8,2,-15.0,Cloudy
-6.0,2446.0,2,6,7,8.0,Snowy
1.0,1931.0,2,4,5,7.0,Windy
-3.0,224.0,2,25,5,-12.0,Cloudy
74.0,651.0,2,14,1,45.0,Cloudy
-4.0,224.0,2,25,5,7.0,Snowy
-4.0,503.0,2,17,4,-11.0,Cloudy
14.0,954.0,2,23,3,13.0,Windy
-4.0,1635.0,2,24,4,-16.0,Cloudy
20.0,73.0,2,14,1,15.0,Cloudy
1.0,184.0,2,20,7,-2.0,Cloudy
-8.0,297.0,2,17,4,1.0,Windy
-10.0,607.0,2,8,2,-15.0,Snowy
-5.0,588.0,2,2,3,-5.0,Cloudy
-5.0,144.0,2,15,2,-39.0,Cloudy
20.0,917.0,2,19,6,34.0,Snowy
-4.0,733.0,2,22,2,5.0,Windy
-4.0,1068.0,2,15,2,-27.0,Windy
-5.0,1180.0,2,15,2,-14.0,Windy
-9.0,901.0,2,1,2,-15.0,Cloudy
182.0,1851.0,3,31,4,183.0,Rainy
1.0,1379.0,3,22,2,-13.0,Windy
-3.0,519.0,3,24,4,-19.0,Windy
-4.0,604.0,3,7,1,-4.0,Windy
-7.0,269.0,3,16,3,-24.0,Rainy
-6.0,444.0,3,9,3,-17.0,Windy
-7.0,612.0,3,23,3,-24.0,Rainy
-1.0,849.0,3,7,1,-1.0,Cloudy
38.0,1207.0,3,25,5,25.0,Cloudy
13.0,481.0,3,19,6,12.0,Cloudy
-26.0,626.0,3,1,2,-28.0,Windy
-8.0,345.0,3,17,4,-10.0,Rainy
11.0,1195.0,3,15,2,-8.0,Windy
-3.0,666.0,3,29,2,-12.0,Windy
57.0,1172.0,3,19,6,58.0,Rainy
52.0,1085.0,3,2,3,44.0,Rainy
-4.0,1065.0,3,12,6,-10.0,Windy
0.0,507.0,3,26,6,-18.0,Cloudy
8.0,368.0,3,9,3,21.0,Cloudy
-3.0,296.0,3,18,5,-12.0,Cloudy
-3.0,259.0,3,18,5,-16.0,Rainy
-4.0,575.0,3,24,4,-9.0,Windy
-3.0,224.0,3,3,4,-1.0,Rainy
-6.0,590.0,3,7,1,-15.0,Cloudy
0.0,909.0,3,11,5,13.0,Cloudy
16.0,2979.0,3,8,2,17.0,Windy
16.0,213.0,3,20,7,14.0,Windy
-10.0,641.0,3,25,5,-18.0,Rainy
-8.0,337.0,3,8,2,-11.0,Cloudy
4.0,2295.0,3,3,4,-16.0,Windy
0.0,300.0,3,21,1,-9.0,Cloudy
4.0,133.0,3,15,2,-3.0,Cloudy
107.0,846.0,3,21,1,78.0,Rainy
0.0,2329.0,3,12,6,-8.0,Rainy
-1.0,793.0,3,26,6,-21.0,Rainy
-1.0,1721.0,3,22,2,-42.0,Windy
5.0,781.0,3,5,6,17.0,Rainy
63.0,551.0,3,17,4,77.0,Windy
-8.0,675.0,3,18,5,-5.0,Rainy
-6.0,762.0,3,8,2,0.0,Cloudy
19.0,337.0,3,24,4,-4.0,Windy
-15.0,558.0,3,15,2,-18.0,Rainy
-4.0,481.0,3,7,1,-19.0,Windy
0.0,416.0,3,20,7,11.0,Cloudy
38.0,184.0,3,9,3,32.0,Rainy
-9.0,290.0,3,7,1,-19.0,Rainy
-6.0,853.0,3,31,4,-14.0,Windy
-5.0,102.0,3,17,4,-12.0,Rainy
68.0,1209.0,3,15,2,60.0,Windy
-5.0,2704.0,3,7,1,-16.0,Windy
-5.0,933.0,3,25,5,-18.0,Cloudy
86.0,651.0,3,24,4,79.0,Rainy
-1.0,1121.0,3,6,7,-2.0,Rainy
3.0,2218.0,3,16,3,-19.0,Rainy
8.0,972.0,3,19,6,17.0,Rainy
4.0,964.0,3,28,1,6.0,Windy
-2.0,137.0,3,20,7,-8.0,Windy
-5.0,872.0,3,4,5,-12.0,Cloudy
-2.0,552.0,3,18,5,-5.0,Cloudy
-10.0,860.0,3,2,3,-34.0,Cloudy
-2.0,334.0,3,11,5,-10.0,Windy
-5.0,496.0,3,2,3,5.0,Windy
-2.0,200.0,3,7,1,-9.0,Rainy
35.0,944.0,3,16,3,35.0,Rainy
